지역코드	지역명	방향	각도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월	연간합
09	전주	북동	30˚	54.46	75.11	125.75	169.68	181.17	177.41	166.41	145.00	130.69	99.29	61.35	43.90	1045.7
09	전주	북동	45˚	42.69	59.95	103.45	144.75	157.27	158.13	148.73	124.79	110.92	80.99	49.50	36.27	890.3
09	전주	북동	60˚	37.86	51.06	86.30	122.40	132.36	135.92	129.19	105.53	95.15	68.74	44.27	33.10	762.0
09	전주	북동	90˚	35.07	42.93	65.77	91.38	94.28	99.04	97.26	78.82	74.15	54.79	39.56	30.04	587.1
09	전주	북	30˚	33.36	54.35	106.20	158.55	176.81	178.93	165.45	143.12	118.68	77.88	42.89	29.58	940.8
09	전주	북	45˚	30.55	34.15	68.43	123.51	148.76	158.68	145.51	118.78	87.05	48.24	35.67	29.81	753.5
09	전주	북	60˚	31.76	35.33	50.46	83.51	113.75	130.84	118.73	89.11	60.77	45.39	36.38	30.13	604.6
09	전주	북	90˚	32.94	36.40	49.76	63.28	66.17	78.85	73.79	60.17	56.75	44.09	36.03	29.14	458.5
10	광주	수평	0˚	103.03	146.17	192.29	222.92	249.55	187.75	164.31	188.07	173.43	158.72	111.12	87.07	1449.2
10	광주	남	30˚	164.52	213.19	234.49	239.25	243.08	181.78	164.28	195.35	201.10	211.43	167.68	141.06	1719.5
10	광주	남	45˚	182.17	229.48	236.55	228.21	221.11	165.71	152.38	184.47	198.87	220.69	182.59	156.93	1720.1
10	광주	남	60˚	189.26	232.41	225.44	205.10	188.18	142.05	133.49	164.79	185.88	217.45	187.02	163.77	1628.7
10	광주	남	90˚	170.61	198.37	167.57	129.53	101.83	82.21	81.88	104.36	131.67	175.16	163.96	149.11	1205.8
10	광주	남동	30˚	146.08	202.24	220.14	235.19	245.82	183.16	164.13	195.46	190.96	192.82	148.60	121.15	1638.1
10	광주	남동	45˚	156.59	214.89	217.96	224.13	227.35	169.43	153.97	186.63	186.08	195.38	155.76	128.82	1616.3
10	광주	남동	60˚	158.52	215.57	205.66	204.27	201.01	150.21	138.35	170.70	173.76	188.61	154.66	129.84	1523.9
10	광주	남동	90˚	136.60	183.43	155.52	144.72	134.80	103.56	98.57	124.42	129.03	149.27	128.93	111.03	1164.9
10	광주	남서	30˚	143.75	183.96	217.95	227.53	238.62	182.71	165.16	192.97	191.58	193.68	149.87	126.40	1616.1
10	광주	남서	45˚	152.91	189.49	214.92	214.42	218.65	169.21	155.74	183.95	187.02	196.78	157.94	136.29	1588.8
10	광주	남서	60˚	153.84	185.31	202.25	193.72	192.03	150.30	140.68	168.04	174.94	190.16	157.48	138.90	1493.9
10	광주	남서	90˚	131.90	151.25	152.06	135.00	127.29	103.76	100.00	121.84	130.34	150.42	131.95	121.16	1135.5
10	광주	동	30˚	103.54	156.55	183.35	213.79	239.22	182.17	160.82	186.10	165.59	151.16	107.00	82.50	1409.9
10	광주	동	45˚	100.82	155.53	171.80	198.86	221.35	169.86	151.02	176.74	155.41	142.96	102.03	78.73	1331.7
10	광주	동	60˚	95.75	150.48	157.25	179.94	198.73	153.62	137.99	163.55	142.28	132.11	95.29	74.32	1226.3
10	광주	동	90˚	80.05	127.98	120.94	135.19	147.28	115.54	105.98	128.27	109.86	104.05	76.51	60.76	956.7
10	광주	서	30˚	100.30	136.15	180.44	203.37	228.93	181.36	162.54	182.90	166.50	151.97	109.00	89.08	1382.4
10	광주	서	45˚	97.05	129.66	168.24	185.82	208.87	169.12	153.58	172.55	156.73	143.75	104.29	87.02	1297.7
10	광주	서	60˚	92.25	121.25	153.16	165.68	185.37	153.09	140.59	158.68	143.74	133.19	97.51	82.95	1188.7
10	광주	서	90˚	76.14	99.06	117.73	121.87	134.49	114.74	107.55	123.26	110.26	105.05	78.75	68.25	918.0
10	광주	북서	30˚	58.13	87.66	137.83	176.07	214.93	176.08	155.68	166.53	135.62	105.65	66.61	50.42	1119.6
10	광주	북서	45˚	46.23	68.95	110.81	145.29	184.05	158.19	141.14	147.25	113.61	83.60	52.23	40.22	944.7
10	광주	북서	60˚	41.19	59.22	91.21	118.38	152.52	136.72	123.65	127.87	95.41	69.52	45.29	35.70	802.2
10	광주	북서	90˚	38.01	52.88	69.92	84.49	105.75	99.06	91.97	96.82	72.21	56.29	40.03	32.66	614.1
10	광주	북동	30˚	59.64	99.05	139.74	184.05	223.45	177.10	154.57	169.48	135.06	105.02	65.60	47.28	1140.1
10	광주	북동	45˚	47.59	80.99	112.72	155.24	194.85	159.35	139.48	151.04	112.86	83.05	51.38	37.99	969.6
10	광주	북동	60˚	42.33	70.66	92.88	128.90	163.93	137.91	121.85	132.10	95.08	68.94	44.62	34.57	828.7
