지역코드	지역명	방향	각도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
04	인천	북	45˚	0.00	2.50	43.41	47.57	51.46	53.30	53.19	49.25	43.52	43.36	0.00	0.00
04	인천	북	60˚	0.00	2.51	9.10	40.53	47.43	49.46	49.08	43.68	25.89	0.00	0.00	0.00
04	인천	북	90˚	0.00	2.52	3.56	9.16	17.12	19.24	17.14	13.15	4.15	0.00	0.00	0.00
05	원주	수평	0˚	26.40	32.92	41.55	50.12	55.93	58.71	58.01	52.68	44.20	36.27	28.84	25.02
05	원주	남	30˚	25.81	32.34	41.36	50.72	57.10	60.14	59.39	53.42	44.30	35.80	28.16	24.50
05	원주	남	45˚	25.66	32.16	41.28	50.98	57.71	60.91	60.09	53.76	44.33	35.63	27.97	24.37
05	원주	남	60˚	25.53	31.99	41.20	51.24	58.42	61.91	60.95	54.11	44.36	35.48	27.81	24.27
05	원주	남	90˚	25.26	31.58	40.95	52.22	61.32	66.30	64.69	55.61	44.45	35.07	27.44	24.05
05	원주	남동	30˚	26.02	32.39	41.13	50.09	56.76	59.87	58.28	52.34	43.47	35.89	28.54	24.83
05	원주	남동	45˚	25.86	32.09	40.82	49.66	56.52	59.85	57.90	51.86	42.92	35.64	28.41	24.77
05	원주	남동	60˚	25.70	31.72	40.27	48.76	55.67	59.08	56.85	50.82	42.11	35.30	28.26	24.67
05	원주	남동	90˚	25.28	30.57	38.17	44.71	50.27	52.81	50.91	45.87	39.09	33.98	27.59	24.41
05	원주	남서	30˚	25.78	32.39	41.41	50.19	56.19	58.99	58.97	53.37	44.54	35.69	27.95	24.34
05	원주	남서	45˚	25.58	32.14	41.18	49.86	55.86	58.61	58.82	53.24	44.38	35.35	27.59	24.13
05	원주	남서	60˚	25.36	31.81	40.70	48.98	54.84	57.53	57.94	52.52	43.84	34.94	27.25	23.93
05	원주	남서	90˚	24.81	30.72	38.75	44.98	49.18	50.88	51.36	48.43	41.41	33.45	26.36	23.48
05	원주	동	30˚	25.92	32.05	40.61	49.07	55.70	58.79	56.86	51.16	42.42	35.60	28.52	24.88
05	원주	동	45˚	24.98	30.73	39.17	47.32	54.28	57.60	55.22	49.28	40.57	34.39	27.43	24.12
05	원주	동	60˚	23.76	29.07	37.17	44.65	51.63	55.04	52.51	46.35	38.09	32.78	26.10	23.12
05	원주	동	90˚	21.06	25.09	31.68	36.72	42.87	45.69	43.54	37.76	31.91	28.70	22.78	20.61
05	원주	서	30˚	25.52	32.07	41.03	49.26	54.94	57.48	57.80	52.69	44.09	35.31	27.39	23.98
05	원주	서	45˚	24.50	30.81	39.75	47.51	53.29	55.82	56.39	51.36	42.73	33.93	26.14	23.04
05	원주	서	60˚	23.33	29.26	37.87	44.86	50.50	52.97	53.55	48.97	40.67	32.09	24.63	21.87
05	원주	서	90˚	20.63	25.43	32.57	36.90	41.73	43.64	43.77	41.09	34.75	27.69	21.44	19.26
05	원주	북서	30˚	25.02	32.03	41.17	49.03	54.44	56.83	57.06	52.37	44.09	35.42	27.07	23.16
05	원주	북서	45˚	20.56	28.06	38.36	46.55	52.65	55.14	55.74	50.74	41.51	31.71	22.41	17.99
05	원주	북서	60˚	15.84	22.98	33.23	41.21	48.34	51.31	51.75	46.35	36.37	26.41	17.38	13.09
05	원주	북서	90˚	9.45	16.09	23.29	28.47	34.72	37.08	37.02	33.32	24.79	17.86	10.45	8.08
05	원주	북동	30˚	25.43	32.05	40.70	48.91	55.15	57.97	56.29	50.92	42.38	35.72	28.26	24.19
05	원주	북동	45˚	20.97	27.98	37.60	46.40	53.70	56.91	54.57	48.51	38.96	32.40	23.72	19.47
05	원주	북동	60˚	15.73	22.47	32.14	41.08	49.59	53.57	50.71	43.29	33.32	27.25	17.89	13.52
05	원주	북동	90˚	9.24	14.21	22.20	28.32	35.71	38.97	36.13	30.10	23.07	17.50	11.16	6.62
05	원주	북	30˚	31.77	35.80	42.11	49.09	54.38	56.88	56.20	51.54	43.97	38.09	32.93	30.40
05	원주	북	45˚	0.00	0.00	43.37	47.72	52.92	55.35	54.62	50.23	43.43	43.61	0.00	0.00
05	원주	북	60˚	0.00	0.00	11.45	40.45	49.27	52.19	51.20	45.40	24.55	0.00	0.00	0.00
05	원주	북	90˚	0.00	0.00	2.54	9.60	17.98	20.13	18.05	11.66	4.03	0.00	0.00	0.00
06	청주	수평	0˚	27.54	34.08	42.17	50.66	56.73	59.06	56.96	52.85	48.84	37.46	29.81	25.69
06	청주	남	30˚	26.91	33.53	42.02	51.19	57.90	60.54	58.64	53.75	48.95	37.00	29.23	25.14
06	청주	남	45˚	26.75	33.35	41.95	51.41	58.47	61.32	59.46	54.19	49.00	36.83	29.06	25.00
06	청주	남	60˚	26.61	33.18	41.89	51.64	59.12	62.31	60.42	54.66	49.04	36.67	28.92	24.88
06	청주	남	90˚	26.30	32.77	41.68	52.57	61.82	66.75	64.54	56.49	49.19	36.24	28.59	24.64
