지역코드	지역명	시간	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
07	대전	16	0.51	0.45	0.42	0.33	0.44	0.53	0.65	0.69	0.52	0.50	0.46	0.49	
07	대전	17	0.53	0.48	0.44	0.33	0.45	0.54	0.67	0.69	0.55	0.56	0.51	0.54	
07	대전	18	0.58	0.51	0.48	0.35	0.46	0.56	0.69	0.72	0.61	0.62	0.54	0.58	
07	대전	19	0.61	0.56	0.51	0.40	0.49	0.60	0.72	0.75	0.67	0.68	0.59	0.63	
07	대전	20	0.64	0.59	0.55	0.45	0.52	0.64	0.76	0.78	0.71	0.71	0.62	0.66	
07	대전	21	0.67	0.61	0.57	0.48	0.56	0.66	0.78	0.80	0.74	0.74	0.65	0.68	
07	대전	22	0.68	0.64	0.59	0.52	0.60	0.68	0.79	0.82	0.77	0.77	0.68	0.71	
07	대전	23	0.70	0.66	0.62	0.55	0.63	0.70	0.81	0.83	0.78	0.79	0.72	0.71	
07	대전	24	0.72	0.69	0.63	0.59	0.64	0.73	0.82	0.83	0.81	0.81	0.74	0.72	
08	대구	1	0.53	0.57	0.57	0.51	0.63	0.72	0.79	0.80	0.75	0.72	0.63	0.55	
08	대구	2	0.53	0.58	0.57	0.54	0.65	0.75	0.80	0.81	0.77	0.74	0.66	0.56	
08	대구	3	0.55	0.60	0.60	0.57	0.69	0.76	0.80	0.82	0.79	0.75	0.67	0.57	
08	대구	4	0.55	0.61	0.60	0.61	0.71	0.78	0.80	0.83	0.80	0.76	0.68	0.58	
08	대구	5	0.56	0.63	0.62	0.62	0.73	0.79	0.82	0.84	0.81	0.77	0.69	0.59	
08	대구	6	0.55	0.65	0.62	0.64	0.74	0.79	0.82	0.84	0.82	0.77	0.70	0.59	
08	대구	7	0.55	0.66	0.63	0.65	0.72	0.77	0.80	0.83	0.82	0.76	0.71	0.60	
08	대구	8	0.55	0.65	0.61	0.61	0.65	0.72	0.77	0.79	0.78	0.72	0.69	0.60	
08	대구	9	0.54	0.62	0.56	0.54	0.57	0.67	0.72	0.74	0.73	0.65	0.65	0.56	
08	대구	10	0.48	0.56	0.52	0.48	0.51	0.62	0.68	0.68	0.66	0.59	0.59	0.50	
08	대구	11	0.43	0.52	0.48	0.42	0.44	0.57	0.66	0.64	0.59	0.53	0.52	0.44	
08	대구	12	0.39	0.47	0.44	0.37	0.40	0.51	0.63	0.61	0.54	0.48	0.46	0.39	
08	대구	13	0.36	0.45	0.41	0.33	0.37	0.50	0.60	0.59	0.51	0.45	0.42	0.36	
08	대구	14	0.34	0.43	0.38	0.31	0.35	0.47	0.59	0.58	0.48	0.42	0.40	0.34	
08	대구	15	0.33	0.42	0.37	0.30	0.35	0.47	0.58	0.59	0.47	0.41	0.38	0.33	
08	대구	16	0.33	0.42	0.37	0.29	0.36	0.47	0.59	0.59	0.47	0.42	0.40	0.34	
08	대구	17	0.36	0.42	0.39	0.29	0.36	0.50	0.62	0.61	0.49	0.45	0.42	0.36	
08	대구	18	0.37	0.44	0.41	0.30	0.38	0.53	0.64	0.64	0.53	0.49	0.45	0.38	
08	대구	19	0.40	0.46	0.44	0.34	0.40	0.56	0.67	0.67	0.58	0.54	0.49	0.41	
08	대구	20	0.43	0.48	0.46	0.37	0.45	0.60	0.70	0.71	0.62	0.58	0.52	0.44	
08	대구	21	0.46	0.51	0.49	0.41	0.50	0.63	0.72	0.73	0.65	0.61	0.55	0.46	
08	대구	22	0.49	0.52	0.51	0.44	0.53	0.66	0.75	0.75	0.68	0.65	0.57	0.48	
08	대구	23	0.50	0.54	0.53	0.46	0.57	0.69	0.76	0.76	0.71	0.67	0.59	0.50	
08	대구	24	0.51	0.55	0.55	0.49	0.60	0.70	0.78	0.79	0.73	0.69	0.61	0.53	
09	전주	1	0.71	0.71	0.70	0.70	0.69	0.78	0.88	0.81	0.85	0.83	0.74	0.78	
09	전주	2	0.73	0.72	0.70	0.73	0.72	0.81	0.89	0.83	0.86	0.84	0.75	0.80	
09	전주	3	0.74	0.72	0.71	0.75	0.73	0.83	0.89	0.84	0.86	0.84	0.75	0.80	
09	전주	4	0.76	0.73	0.72	0.79	0.75	0.84	0.89	0.84	0.87	0.86	0.75	0.80	
09	전주	5	0.77	0.74	0.72	0.80	0.76	0.86	0.90	0.86	0.88	0.86	0.75	0.80	
09	전주	6	0.76	0.74	0.72	0.80	0.76	0.86	0.90	0.87	0.88	0.86	0.77	0.81	
09	전주	7	0.75	0.73	0.71	0.78	0.75	0.83	0.88	0.85	0.87	0.86	0.77	0.82	
09	전주	8	0.74	0.72	0.66	0.71	0.68	0.75	0.82	0.79	0.82	0.80	0.78	0.82	
09	전주	9	0.70	0.65	0.58	0.58	0.60	0.68	0.76	0.74	0.72	0.69	0.71	0.77	
09	전주	10	0.62	0.58	0.49	0.48	0.55	0.63	0.69	0.69	0.65	0.58	0.63	0.68	
09	전주	11	0.55	0.51	0.43	0.42	0.51	0.58	0.68	0.65	0.58	0.49	0.55	0.59	
09	전주	12	0.50	0.47	0.39	0.38	0.48	0.55	0.63	0.61	0.54	0.46	0.51	0.55	
09	전주	13	0.47	0.43	0.36	0.36	0.45	0.53	0.61	0.59	0.51	0.42	0.47	0.52	
09	전주	14	0.46	0.42	0.36	0.35	0.43	0.52	0.61	0.59	0.50	0.40	0.45	0.51	
09	전주	15	0.46	0.42	0.35	0.36	0.43	0.53	0.60	0.59	0.48	0.40	0.45	0.50	
09	전주	16	0.48	0.43	0.35	0.37	0.43	0.54	0.61	0.61	0.50	0.41	0.47	0.52	
09	전주	17	0.50	0.45	0.38	0.40	0.44	0.55	0.63	0.62	0.55	0.44	0.50	0.56	
